file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-api\src\main\java\org\apache\nifi\documentation\init\NopComponentLog.java,org.apache.nifi.documentation.init.NopComponentLog,class,3,8,5,3,30,1,0,0,435,0.0,0.0,0.0,30,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,68,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-core\src\test\java\org\apache\nifi\manifest\StandardRuntimeManifestServiceTest.java,org.apache.nifi.manifest.StandardRuntimeManifestServiceTest,class,17,17,0,17,2,2,0,33,0,0.1,1.0,1.0,2,0,2,0,0,0,2,0,0,0,5,0,0,5,0,0,0,0,1,48,0,0,0,0,0,14,4,13,0,13,0,0,1,0,38,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-commons\nifi-security-kerberos\src\test\java\org\apache\nifi\security\krb\KerberosUserIT.java,org.apache.nifi.security.krb.KerberosUserIT,class,11,11,0,11,11,1,0,44,0,0.6122449,0.52380955,0.71428573,7,1,7,0,0,0,7,0,0,0,7,7,0,7,0,0,1,0,4,106,2,1,0,0,0,20,10,36,7,35,2,0,0,2,77,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-commons\nifi-flow-encryptor\src\main\java\org\apache\nifi\flow\encryptor\AbstractFlowEncryptor.java,org.apache.nifi.flow.encryptor.AbstractFlowEncryptor,class,2,3,1,2,1,1,1,4,0,0.6666667,NaN,NaN,1,0,0,0,1,0,1,0,0,0,3,3,0,0,3,0,3,0,2,10,1,0,0,0,0,2,1,5,0,5,0,0,0,0,28,1025,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-framework-api\src\main\java\org\apache\nifi\diagnostics\ThreadDumpTask.java,org.apache.nifi.diagnostics.ThreadDumpTask,class,4,4,0,4,24,1,0,25,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,87,1,8,6,0,0,23,3,9,0,9,4,1,0,0,60,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-elasticsearch-bundle\nifi-elasticsearch-restapi-processors\src\main\java\org\apache\nifi\processors\elasticsearch\AbstractPaginatedJsonQueryElasticsearch.java,org.apache.nifi.processors.elasticsearch.AbstractPaginatedJsonQueryElasticsearch,class,18,26,8,18,51,3,2,106,58,0.8974359,0.083333336,0.083333336,13,0,1,4,0,8,9,3,0,0,6,4,3,1,0,2,5,0,7,158,5,1,15,1,4,34,3,29,6,28,3,0,0,5,165,1025,4
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-commons\nifi-hashicorp-vault\src\main\java\org\apache\nifi\vault\hashicorp\StandardHashiCorpVaultCommunicationService.java,org.apache.nifi.vault.hashicorp.StandardHashiCorpVaultCommunicationService$SecretData,innerclass,2,2,0,2,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5,10,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-commons\nifi-web-utils\src\main\java\org\apache\nifi\web\util\WebUtils.java,org.apache.nifi.web.util.WebUtils,class,11,15,4,11,45,1,0,37,114,0.9166667,0.03846154,0.051282052,16,15,13,3,0,0,13,0,0,0,12,12,9,3,0,0,12,0,16,154,21,2,8,2,1,23,8,42,4,32,2,0,0,0,207,17,2
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-accumulo-bundle\nifi-accumulo-services-api\src\main\java\org\apache\nifi\accumulo\controllerservices\BaseAccumuloService.java,org.apache.nifi.accumulo.controllerservices.BaseAccumuloService,interface,4,8,4,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-aws-bundle\nifi-aws-processors\src\main\java\org\apache\nifi\processors\aws\kinesis\stream\ConsumeKinesisStream.java,org.apache.nifi.processors.aws.kinesis.stream.ConsumeKinesisStream$Anonymous1,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,1,0,0,0,0,1,0,0,0,4,-1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-core\src\main\java\org\apache\nifi\controller\leader\election\StandaloneLeaderElectionManager.java,org.apache.nifi.controller.leader.election.StandaloneLeaderElectionManager,class,2,2,0,2,13,1,0,2,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,36,8,0,0,0,0,0,4,0,0,0,0,0,0,0,46,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-commons\nifi-property-encryptor\src\main\java\org\apache\nifi\encrypt\PropertyEncryptor.java,org.apache.nifi.encrypt.PropertyEncryptor,interface,0,8,8,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-framework-api\src\test\java\org\apache\nifi\authorization\MockPolicyBasedAuthorizer.java,org.apache.nifi.authorization.MockPolicyBasedAuthorizer,class,9,12,3,9,28,2,0,33,220,0.7733333,0.13333334,0.35,25,0,22,0,3,0,25,0,0,0,3,0,0,3,0,0,0,0,0,108,18,0,3,0,0,0,0,3,0,8,1,1,0,5,53,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-bootstrap\src\main\java\org\apache\nifi\bootstrap\process\FileHandles.java,org.apache.nifi.bootstrap.process.FileHandles,class,3,5,2,3,7,2,0,17,6,0.75,0.0,0.0,4,0,1,0,2,1,4,0,0,0,4,4,0,4,0,0,4,0,8,34,1,0,0,0,0,5,4,10,0,10,2,0,0,0,49,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-cluster\src\main\java\org\apache\nifi\cluster\manager\UserGroupEntityMerger.java,org.apache.nifi.cluster.manager.UserGroupEntityMerger,class,7,10,3,7,7,1,0,12,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,31,1,2,2,0,0,0,0,7,0,7,2,0,0,0,30,1,0
